
12288 atoms 
5 atom types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
0.00000000 120.00000000 zlo zhi
0.00000  0.00000000 0.00000000 xy xz yz

Masses 

1 107.868 
2 126.904 
3 15.9994 
4 1.008
5 1.0e-100

Atoms 

106 1 0.60000000 -18.39622995  42.48387497 12.23101440
107 1 0.60000000 -18.39622995  42.48387497 19.75501440
108 1 0.60000000 -18.39622995  42.48387497 27.27901440
109 1 0.60000000 -20.69572996  46.46672580 4.70701440
110 1 0.60000000 -20.69572996  46.46672580 12.23101440
111 1 0.60000000 -20.69572996  46.46672580 19.75501440
112 1 0.60000000 -20.69572996  46.46672580 27.27901440
113 1 0.60000000 -22.99522996  50.44957663 4.70701440
114 1 0.60000000 -22.99522996  50.44957663 12.23101440
115 1 0.60000000 -22.99522996  50.44957663 19.75501440
116 1 0.60000000 -22.99522996  50.44957663 27.27901440
117 1 0.60000000 -25.29472996  54.43242746 4.70701440
118 1 0.60000000 -25.29472996  54.43242746 12.23101440
119 1 0.60000000 -25.29472996  54.43242746 19.75501440
120 1 0.60000000 -25.29472996  54.43242746 27.27901440
121 1 0.60000000 -27.59422996  58.41527829 4.70701440
122 1 0.60000000 -27.59422996  58.41527829 12.23101440
123 1 0.60000000 -27.59422996  58.41527829 19.75501440
124 1 0.60000000 -27.59422996  58.41527829 27.27901440
125 1 0.60000000 -29.89372996  62.39812913 4.70701440
126 1 0.60000000 -29.89372996  62.39812913 12.23101440
127 1 0.60000000 -29.89372996  62.39812913 19.75501440
128 1 0.60000000 -29.89372996  62.39812913 27.27901440
129 1 0.60000000 9.19777005  2.65536665 4.70701440
130 1 0.60000000 9.19777005  2.65536665 12.23101440
131 1 0.60000000 9.19777005  2.65536665 19.75501440
132 1 0.60000000 9.19777005  2.65536665 27.27901440
133 1 0.60000000 6.89827005  6.63821748 4.70701440
134 1 0.60000000 6.89827005  6.63821748 12.23101440
135 1 0.60000000 6.89827005  6.63821748 19.75501440
136 1 0.60000000 6.89827005  6.63821748 27.27901440
137 1 0.60000000 4.59877005  10.62106831 4.70701440
138 1 0.60000000 4.59877005  10.62106831 12.23101440
139 1 0.60000000 4.59877005  10.62106831 19.75501440
140 1 0.60000000 4.59877005  10.62106831 27.27901440
141 1 0.60000000 2.29927005  14.60391915 4.70701440
142 1 0.60000000 2.29927005  14.60391915 12.23101440
143 1 0.60000000 2.29927005  14.60391915 19.75501440
144 1 0.60000000 2.29927005  14.60391915 27.27901440
145 1 0.60000000 -0.00022995  18.58676998 4.70701440
146 1 0.60000000 -0.00022995  18.58676998 12.23101440
147 1 0.60000000 -0.00022995  18.58676998 19.75501440
148 1 0.60000000 -0.00022995  18.58676998 27.27901440
149 1 0.60000000 -2.29972995  22.56962081 4.70701440
150 1 0.60000000 -2.29972995  22.56962081 12.23101440
151 1 0.60000000 -2.29972995  22.56962081 19.75501440
152 1 0.60000000 -2.29972995  22.56962081 27.27901440
153 1 0.60000000 -4.59922995  26.55247164 4.70701440
154 1 0.60000000 -4.59922995  26.55247164 12.23101440
155 1 0.60000000 -4.59922995  26.55247164 19.75501440
156 1 0.60000000 -4.59922995  26.55247164 27.27901440
157 1 0.60000000 -6.89872995  30.53532247 4.70701440
158 1 0.60000000 -6.89872995  30.53532247 12.23101440
159 1 0.60000000 -6.89872995  30.53532247 19.75501440
160 1 0.60000000 -6.89872995  30.53532247 27.27901440
161 1 0.60000000 -9.19822995  34.51817330 4.70701440
162 1 0.60000000 -9.19822995  34.51817330 12.23101440
163 1 0.60000000 -9.19822995  34.51817330 19.75501440
164 1 0.60000000 -9.19822995  34.51817330 27.27901440
165 1 0.60000000 -11.49772995  38.50102414 4.70701440
166 1 0.60000000 -11.49772995  38.50102414 12.23101440
167 1 0.60000000 -11.49772995  38.50102414 19.75501440
168 1 0.60000000 -11.49772995  38.50102414 27.27901440
169 1 0.60000000 -13.79722996  42.48387497 4.70701440
170 1 0.60000000 -13.79722996  42.48387497 12.23101440
171 1 0.60000000 -13.79722996  42.48387497 19.75501440
172 1 0.60000000 -13.79722996  42.48387497 27.27901440
173 1 0.60000000 -16.09672996  46.46672580 4.70701440
174 1 0.60000000 -16.09672996  46.46672580 12.23101440
175 1 0.60000000 -16.09672996  46.46672580 19.75501440
176 1 0.60000000 -16.09672996  46.46672580 27.27901440
177 1 0.60000000 -18.39622996  50.44957663 4.70701440
178 1 0.60000000 -18.39622996  50.44957663 12.23101440
179 1 0.60000000 -18.39622996  50.44957663 19.75501440
180 1 0.60000000 -18.39622996  50.44957663 27.27901440
181 1 0.60000000 -20.69572996  54.43242746 4.70701440
182 1 0.60000000 -20.69572996  54.43242746 12.23101440
183 1 0.60000000 -20.69572996  54.43242746 19.75501440
184 1 0.60000000 -20.69572996  54.43242746 27.27901440
185 1 0.60000000 -22.99522996  58.41527829 4.70701440
186 1 0.60000000 -22.99522996  58.41527829 12.23101440
187 1 0.60000000 -22.99522996  58.41527829 19.75501440
188 1 0.60000000 -22.99522996  58.41527829 27.27901440
189 1 0.60000000 -25.29472996  62.39812913 4.70701440
190 1 0.60000000 -25.29472996  62.39812913 12.23101440
191 1 0.60000000 -25.29472996  62.39812913 19.75501440
192 1 0.60000000 -25.29472996  62.39812913 27.27901440
193 1 0.60000000 13.79677005  2.65536665 4.70701440
194 1 0.60000000 13.79677005  2.65536665 12.23101440
195 1 0.60000000 13.79677005  2.65536665 19.75501440
196 1 0.60000000 13.79677005  2.65536665 27.27901440
197 1 0.60000000 11.49727005  6.63821748 4.70701440
198 1 0.60000000 11.49727005  6.63821748 12.23101440
199 1 0.60000000 11.49727005  6.63821748 19.75501440
200 1 0.60000000 11.49727005  6.63821748 27.27901440
201 1 0.60000000 9.19777005  10.62106831 4.70701440
202 1 0.60000000 9.19777005  10.62106831 12.23101440
203 1 0.60000000 9.19777005  10.62106831 19.75501440
204 1 0.60000000 9.19777005  10.62106831 27.27901440
205 1 0.60000000 6.89827005  14.60391915 4.70701440
206 1 0.60000000 6.89827005  14.60391915 12.23101440
207 1 0.60000000 6.89827005  14.60391915 19.75501440
208 1 0.60000000 6.89827005  14.60391915 27.27901440
209 1 0.60000000 4.59877005  18.58676998 4.70701440
210 1 0.60000000 4.59877005  18.58676998 12.23101440
211 1 0.60000000 4.59877005  18.58676998 19.75501440
212 1 0.60000000 4.59877005  18.58676998 27.27901440
